random_state,cluster_hdbscan,n,pct_total,superficie_util_mediana,superficie_util_media,superficie_util_p25,superficie_util_p75,u_norm_muro_principal_mediana,u_norm_muro_principal_media,u_norm_muro_principal_p25,u_norm_muro_principal_p75,u_norm_muro_secundario_mediana,u_norm_muro_secundario_media,u_norm_muro_secundario_p25,u_norm_muro_secundario_p75,u_norm_techo_principal_mediana,u_norm_techo_principal_media,u_norm_techo_principal_p25,u_norm_techo_principal_p75,u_norm_techo_secundario_mediana,u_norm_techo_secundario_media,u_norm_techo_secundario_p25,u_norm_techo_secundario_p75,log_calef_proyec_kwh_mediana,log_calef_proyec_kwh_media,log_calef_proyec_kwh_p25,log_calef_proyec_kwh_p75,log_acs_proyec_kwh_mediana,log_acs_proyec_kwh_media,log_acs_proyec_kwh_p25,log_acs_proyec_kwh_p75,calef_proyec_kwh_mediana,calef_proyec_kwh_media,calef_proyec_kwh_p25,calef_proyec_kwh_p75,acs_proyec_kwh_mediana,acs_proyec_kwh_media,acs_proyec_kwh_p25,acs_proyec_kwh_p75,zona_termica_moda,zona_termica_pct_moda,tipo_inmueble_moda,tipo_inmueble_pct_moda,etiqueta_arquetipo_preliminar
105,5,220,2.1999999999999997,55.4,54.04272727272727,50.8,57.1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.84,0.8400000000000001,0.84,0.84,0.84,0.8400000000000001,0.84,0.84,6.121395114232668,5.943868688305674,5.1394445653894945,6.834886670769563,7.855118230410703,7.795061988347053,7.7788812669019,7.908928962694193,454.5,646.4618181818182,169.625,928.875,2577.9,2464.4545454545455,2388.6,2720.475,a,100.0,depto,100.0,depto | a | sup_mediana 55 m2 | calef: 454 kWh | acs: 2578 kWh
105,6,169,1.69,54.0,54.03313609467456,47.4,59.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.84,0.8400000000000001,0.84,0.84,0.84,0.8400000000000001,0.84,0.84,0.0,0.007275979592156887,0.0,0.0,7.838974031440529,7.820964120924823,7.722810309775416,7.908460685998653,0.0,0.009467455621301774,0.0,0.0,2536.6,2545.649704142012,2258.3,2719.2,a,100.0,depto,100.0,depto | a | sup_mediana 54 m2 | calef: 0 kWh | acs: 2537 kWh
105,7,127,1.27,43.7,51.48818897637796,30.85,55.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.237274830175497,7.058551428808033,6.648129601942095,7.91387905994753,7.778337094762643,7.235228448655713,7.396335293800808,8.166301492233233,1389.3,1884.0393700787404,770.4,2734.3,2387.3,2850.7559999999994,1629.0,3519.3,d,100.0,depto,100.0,depto | d | sup_mediana 44 m2 | calef: 1389 kWh | acs: 2387 kWh
105,8,102,1.02,73.85,71.24313725490195,53.0,87.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.345679374118394,9.165982203398789,8.73999516705096,9.56424784217525,8.094662366397726,8.003382923789228,7.869363485546751,8.220725975683184,11448.25,10731.93333333333,6246.9,14250.2,3276.1499999999996,3093.536274509804,2614.9,3716.2,d,100.0,casa_aislada,56.86274509803921,casa_aislada | d | sup_mediana 74 m2 | calef: 11448 kWh | acs: 3276 kWh
105,9,234,2.34,51.15,52.99700854700854,45.7,57.7,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.6,0.5999999999999999,0.6,0.6,0.6,0.5999999999999999,0.6,0.6,7.136801375948961,6.5789528867680325,6.406722358419368,7.752592263346697,7.875613267712699,7.33115268719163,7.727468138305535,7.953669778649798,1256.4,1678.3025641025642,605.175,2326.6,2631.3,2975.3162393162393,2268.85,2845.0,c,100.0,depto,100.0,depto | c | sup_mediana 51 m2 | calef: 1256 kWh | acs: 2631 kWh
105,10,158,1.58,48.3,59.55696202531646,46.1,63.575,1.7,1.6999999999999995,1.7,1.7,1.7,1.6999999999999995,1.7,1.7,0.38,0.37999999999999995,0.38,0.38,0.38,0.37999999999999995,0.38,0.38,9.439687621529774,9.37236033582501,9.195259909818846,9.547305344326062,7.907982665728846,8.014025692980972,7.870662385484872,8.114039205079445,12576.8,12201.112025316457,9849.85,14005.9,2717.9,3099.3746835443044,2618.3,3340.5,e,100.0,casa_aislada,100.0,casa_aislada | e | sup_mediana 48 m2 | calef: 12577 kWh | acs: 2718 kWh
105,11,223,2.23,50.5,51.228251121076234,49.9,53.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.6,0.5999999999999996,0.6,0.6,0.6,0.5999999999999996,0.6,0.6,8.357188745013314,8.33284098718658,8.033554864137308,8.700597189019447,7.832728211239126,7.83834707886366,7.822685085216951,7.881484385503557,4259.7,4707.644394618835,3081.7,6005.5,2520.8,2540.893721973094,2495.6,2646.8,d,100.0,depto,100.0,depto | d | sup_mediana 50 m2 | calef: 4260 kWh | acs: 2521 kWh
105,12,401,4.01,49.9,48.97356608478803,43.3,57.2,1.7,1.6999999999999995,1.7,1.7,1.7,1.6999999999999995,1.7,1.7,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,7.691108727428231,7.466082032918951,7.0284673541444,8.296122490262958,7.954582924500485,7.931868952701702,7.820118307518312,8.044080734770414,2187.8,3057.5892768079802,1127.3,4007.3,2847.6,2981.9468827930173,2489.2,3114.3,e,100.0,depto,100.0,depto | e | sup_mediana 50 m2 | calef: 2188 kWh | acs: 2848 kWh
105,13,168,1.68,48.3,51.155952380952385,47.0,54.575,1.7,1.6999999999999995,1.7,1.7,1.7,1.6999999999999995,1.7,1.7,0.38,0.37999999999999995,0.38,0.38,0.38,0.37999999999999995,0.38,0.38,8.907815352654627,8.759867669602846,8.48445104774075,9.087793411028741,7.885592560507808,7.851519757474567,7.838422176800799,7.983474167092265,7388.5,6938.963095238094,4838.224999999999,8845.65,2657.7,2654.5178571428573,2535.2,2931.1,e,100.0,casa_pareada,100.0,casa_pareada | e | sup_mediana 48 m2 | calef: 7388 kWh | acs: 2658 kWh
105,14,62,0.62,50.3,51.496774193548404,50.3,50.3,1.6,1.5999999999999994,1.6,1.6,1.6,1.5999999999999994,1.6,1.6,0.33,0.32999999999999985,0.33,0.33,0.33,0.32999999999999985,0.33,0.33,9.502240817684381,9.489684252238225,9.460234199740366,9.544214332649318,8.011288771969316,8.02700273761265,8.011288771969316,8.011288771969316,13388.7,13261.472580645164,12837.9,13962.675,3013.8,3065.7854838709663,3013.8,3013.8,g,100.0,casa_aislada,100.0,casa_aislada | g | sup_mediana 50 m2 | calef: 13389 kWh | acs: 3014 kWh
105,15,126,1.26,44.8,47.31904761904761,42.7,48.7,1.1,1.0999999999999994,1.1,1.1,1.1,1.0999999999999994,1.1,1.1,0.28,0.2800000000000002,0.28,0.28,0.28,0.2800000000000002,0.28,0.28,9.728585553514502,9.673164923170388,9.650071611785798,9.768178569860854,7.920010521993716,7.951844901551457,7.883182467079869,7.986436932161368,16789.8,16080.851587301588,15521.9,17467.925,2750.8,2858.919047619047,2651.3,2939.8,g,100.0,casa_aislada,100.0,casa_aislada | g | sup_mediana 45 m2 | calef: 16790 kWh | acs: 2751 kWh
