document_id,superficie_util,zona_termica,tipo_inmueble,calef_proyec_kwh,acs_proyec_kwh,u_norm_muro_principal,u_norm_muro_secundario,u_norm_techo_principal,u_norm_techo_secundario,log_calef_proyec_kwh,log_acs_proyec_kwh,cluster_hdbscan,cluster_probability,cluster_is_noise
36de1e2023,77.1,d,depto,1707.5,4369.8,1.9,1.9,0.47,0.47,7.4433710715553465,8.38270133769659,25,0.31681769512503044,False
9685862024,56.5,i,depto,5367.0,3740.0,0.6,0.6,0.25,0.25,8.588210678651517,8.227108234348146,0,0.9994395474246829,False
0bded32024,66.4,e,casa_aislada,10025.8,3448.0,1.7,1.7,0.38,0.38,9.21301678717959,8.145839612936841,14,0.13708284040619503,False
1f0bf12026,68.6,d,depto,4720.0,18213.9,1.9,1.9,0.47,0.47,8.459775920546287,9.80999521944681,25,0.14240883095104376,False
4ce2a82025,46.5,d,casa_pareada,7197.5,2363.0,1.9,1.9,0.47,0.47,8.88162794996641,7.768110378525988,27,1.0,False
51a2b92024,45.7,f,depto,2316.7,2706.2,1.7,1.7,0.38,0.38,7.748330593608514,7.903670169411904,21,0.870755722171955,False
f6dd4b2023,51.6,d,depto,4140.1,2561.1,3.0,3.0,0.6,0.6,8.32871673201033,7.848582513701196,10,0.5901833839410764,False
998d7b2021,41.4,d,casa_pareada,9272.9,2150.8,1.9,1.9,0.47,0.47,9.134959282059542,7.674059980159809,27,1.0,False
0164572022,43.5,f,casa_pareada,2014.1,2601.2,1.7,1.7,0.38,0.38,7.608424100940929,7.864112520069376,15,0.01797610317270101,False
eb5d6c2018,33.1,g,,1780.9,2145.6,1.1,1.1,0.28,0.28,7.485435489733369,7.6716404740474236,-1,0.0,True
795e482025,57.8,d,depto,4093.1,2790.9,1.9,1.9,0.47,0.47,8.317302191912178,7.934477646621922,25,1.0,False
f316882022,54.7,d,depto,250.5,1620.4,1.9,1.9,0.47,0.47,5.527442989539794,7.391045252553607,25,0.33877904686232385,False
271c672022,42.5,d,depto,1475.3,2026.0,1.9,1.9,0.47,0.47,7.297294236540042,7.614312146452,25,1.0,False
bf0db62020,93.0,d,depto,740.9,3233.2,1.9,1.9,0.47,0.47,6.60921446319548,8.081536881143844,25,0.18168408413053658,False
70f6582024,44.1,e,casa_pareada,9879.8,2528.3,1.7,1.7,0.38,0.38,9.198348759123805,7.83569786359674,11,1.0,False
111a7c2020,38.0,d,depto,5332.3,2005.2,1.9,1.9,0.47,0.47,8.581725462534278,7.603997664449385,25,0.7346379666595337,False
56fb4c2024,47.0,e,casa_aislada,8805.6,2657.7,1.7,1.7,0.38,0.38,9.083256719356843,7.885592560507808,14,0.22997845689639748,False
69cf7a2019,47.2,d,depto,5065.4,2390.5,1.9,1.9,0.47,0.47,8.53038578520222,7.779676063120352,25,1.0,False
cb9d292019,51.1,d,depto,4257.8,2543.4,1.9,1.9,0.47,0.47,8.356742709440452,7.84165014480465,25,1.0,False
0935c12026,49.4,d,depto,2324.1,2475.3,1.9,1.9,0.47,0.47,7.751518327849209,7.814520789631221,25,1.0,False
691ff92020,52.3,f,depto,6205.2,3008.8,1.7,1.7,0.38,0.38,8.733304071366266,8.009628910352617,21,1.0,False
6a99c12023,63.1,d,depto,1500.1,2978.7,1.9,1.9,0.47,0.47,7.31395345166613,7.999577903290831,25,0.5672585446491577,False
389e922024,37.9,d,depto,5854.8,1575.3,1.9,1.9,0.47,0.47,8.675187902052455,7.362835607632497,25,0.6251943229331655,False
14738c2025,102.0,d,casa_aislada,14031.0,4085.7,1.9,1.9,0.47,0.47,9.549095714611964,8.31549307739568,18,0.49739803731041315,False
45b0a92025,63.1,d,casa_aislada,10054.6,2977.5,1.9,1.9,0.47,0.47,9.215884972231533,7.9991750970687425,18,1.0,False
948b672021,42.9,d,depto,316.8,3558.9,1.9,1.9,0.47,0.47,5.761422254102616,8.177487733563908,25,0.3175850178299525,False
d794d02024,43.8,d,casa_pareada,1867.4,2252.4,3.0,3.0,0.6,0.6,7.532837728627953,7.7201954657300655,-1,0.0,True
58e2322025,44.5,d,casa_pareada,7155.0,2279.7,1.9,1.9,0.47,0.47,8.87570644462861,7.732237692372104,27,1.0,False
42a0372023,40.8,d,depto,181.4,2131.3,1.9,1.9,0.47,0.47,5.206202077640231,7.664956488332188,25,0.5643148134541973,False
c3d2702022,42.0,d,casa_pareada,6368.1,2176.5,1.9,1.9,0.47,0.47,8.759213451300075,7.685932708726658,27,1.0,False
1252692023,27.9,d,depto,365.4,2798.0,1.9,1.9,0.47,0.47,5.903725632799975,7.937017489515453,25,0.3605655472417605,False
d0833a2026,30.9,d,depto,2052.0,3824.1,1.9,1.9,0.47,0.47,7.627057417018934,8.249339889709743,25,0.4743372519312126,False
f7b7332022,28.7,d,depto,1896.1,3639.7,1.9,1.9,0.47,0.47,7.548081683358499,8.19993124983434,25,0.5984896259854966,False
