cluster_hdbscan,n,pct_total,superficie_util_mediana,superficie_util_media,superficie_util_p25,superficie_util_p75,u_norm_muro_principal_mediana,u_norm_muro_principal_media,u_norm_muro_principal_p25,u_norm_muro_principal_p75,u_norm_muro_secundario_mediana,u_norm_muro_secundario_media,u_norm_muro_secundario_p25,u_norm_muro_secundario_p75,u_norm_techo_principal_mediana,u_norm_techo_principal_media,u_norm_techo_principal_p25,u_norm_techo_principal_p75,u_norm_techo_secundario_mediana,u_norm_techo_secundario_media,u_norm_techo_secundario_p25,u_norm_techo_secundario_p75,zona_termica_moda,zona_termica_pct_moda,tipo_inmueble_moda,tipo_inmueble_pct_moda,calef_proyec_moda,calef_proyec_pct_moda,acs_proyec_moda,acs_proyec_pct_moda,etiqueta_arquetipo_preliminar
-1,4300,43.0,50.5,54.23632558139534,42.7,58.824999999999996,1.9,2.1824655615222976,1.7,1.9,1.9,2.1824655615222976,1.7,1.9,0.47,0.48003969180480965,0.38,0.47,0.47,0.48003969180480965,0.38,0.47,d,55.76744186046512,depto,69.11627906976744,no posee,64.93023255813954,calefont 7 litros tiro forzado,11.093023255813954,ruido / observacion atipica
36,107,1.0699999999999998,49.6,51.36915887850467,47.8,52.1,1.9,1.9598130841121488,1.9,1.9,1.9,1.9598130841121488,1.9,1.9,0.47,0.46280373831775695,0.47,0.47,0.47,0.46280373831775695,0.47,0.47,d,100.0,casa_pareada,100.0,no posee,100.0,calefont 10 litros tiro forzado,100.0,casa_pareada | d | sup_mediana 50 m2 | calef: no posee | acs: calefont 10 litros tiro forzado
37,76,0.76,49.9,49.06447368421052,49.9,49.9,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,d,100.0,depto,100.0,no posee,100.0,calefont glp,100.0,depto | d | sup_mediana 50 m2 | calef: no posee | acs: calefont glp
38,139,1.39,29.0,33.535251798561156,28.3,40.3,1.9,1.9000000000000001,1.9,1.9,1.9,1.9000000000000001,1.9,1.9,0.47,0.46999999999999986,0.47,0.47,0.47,0.46999999999999986,0.47,0.47,d,100.0,depto,100.0,no posee,100.0,central termica,64.02877697841727,depto | d | sup_mediana 29 m2 | calef: no posee | acs: central termica
39,85,0.8500000000000001,51.6,51.478823529411784,50.1,53.1,1.9,1.9000000000000004,1.9,1.9,1.9,1.9000000000000004,1.9,1.9,0.47,0.4699999999999998,0.47,0.47,0.47,0.4699999999999998,0.47,0.47,d,100.0,casa_pareada,100.0,no posee,100.0,calefont glp,100.0,casa_pareada | d | sup_mediana 52 m2 | calef: no posee | acs: calefont glp
40,151,1.51,42.0,42.41456953642384,42.0,42.4,1.9,1.9000000000000006,1.9,1.9,1.9,1.9000000000000006,1.9,1.9,0.47,0.4699999999999998,0.47,0.47,0.47,0.4699999999999998,0.47,0.47,d,100.0,casa_pareada,100.0,no posee,100.0,calefont glp,100.0,casa_pareada | d | sup_mediana 42 m2 | calef: no posee | acs: calefont glp
41,112,1.1199999999999999,47.0,47.0,47.0,47.0,1.7,1.6999999999999995,1.7,1.7,1.7,1.6999999999999995,1.7,1.7,0.38,0.37999999999999995,0.38,0.38,0.38,0.37999999999999995,0.38,0.38,d,100.0,casa_pareada,100.0,no posee,100.0,calefont 7 litros tiro forzado,100.0,casa_pareada | d | sup_mediana 47 m2 | calef: no posee | acs: calefont 7 litros tiro forzado
42,63,0.63,45.2,45.382539682539665,45.0,47.0,1.9,1.9000000000000008,1.9,1.9,1.9,1.9000000000000008,1.9,1.9,0.47,0.46999999999999975,0.47,0.47,0.47,0.46999999999999975,0.47,0.47,d,100.0,casa_pareada,100.0,no posee,100.0,calefont 7 litros tiro forzado,100.0,casa_pareada | d | sup_mediana 45 m2 | calef: no posee | acs: calefont 7 litros tiro forzado
43,97,0.97,55.1,56.324742268041234,53.4,57.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,0.47,0.4699999999999998,0.47,0.47,0.47,0.4699999999999998,0.47,0.47,d,100.0,casa_pareada,100.0,no posee,100.0,calefont 7 litros tiro forzado,100.0,casa_pareada | d | sup_mediana 55 m2 | calef: no posee | acs: calefont 7 litros tiro forzado
44,181,1.81,48.5,48.633701657458566,48.5,48.6,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,0.47,0.4699999999999998,0.47,0.47,0.47,0.4699999999999998,0.47,0.47,d,100.0,depto,100.0,no posee,100.0,calefont glp,100.0,depto | d | sup_mediana 48 m2 | calef: no posee | acs: calefont glp
45,59,0.59,55.5,55.199999999999996,54.9,55.5,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,0.38,0.3799999999999999,0.38,0.38,0.38,0.3799999999999999,0.38,0.38,d,100.0,casa_pareada,100.0,no posee,100.0,calefont 7 litros tiro forzado,100.0,casa_pareada | d | sup_mediana 56 m2 | calef: no posee | acs: calefont 7 litros tiro forzado
