cluster_hdbscan,variable,count,media,mediana,desviacion_estandar,minimo,p25,p75,maximo,coeficiente_variacion
33,u_norm_muro_principal,192,1.8437499999999993,1.9,0.09015693124385332,1.7,1.7,1.9,1.9,0.048898674572937416
33,u_norm_muro_secundario,192,1.8437499999999993,1.9,0.09015693124385332,1.7,1.7,1.9,1.9,0.048898674572937416
33,u_norm_techo_principal,192,0.44468749999999985,0.47,0.04057061905973399,0.38,0.38,0.47,0.47,0.09123399929103923
33,u_norm_techo_secundario,192,0.44468749999999985,0.47,0.04057061905973399,0.38,0.38,0.47,0.47,0.09123399929103923
34,superficie_util,60,48.03,47.0,6.19245850796607,41.3,47.0,47.0,68.2,0.12892897164201686
34,u_norm_muro_principal,60,1.7,1.7,0.0,1.7,1.7,1.7,1.7,0.0
34,u_norm_muro_secundario,60,1.7,1.7,0.0,1.7,1.7,1.7,1.7,0.0
34,u_norm_techo_principal,60,0.3799999999999999,0.38,1.1195921614018072e-16,0.38,0.38,0.38,0.38,2.946295161583704e-16
34,u_norm_techo_secundario,60,0.3799999999999999,0.38,1.1195921614018072e-16,0.38,0.38,0.38,0.38,2.946295161583704e-16
35,superficie_util,61,60.05573770491804,57.8,4.515363573038312,52.4,57.8,63.1,67.6,0.0751862144334053
35,u_norm_muro_principal,61,1.7,1.7,0.0,1.7,1.7,1.7,1.7,0.0
35,u_norm_muro_secundario,61,1.7,1.7,0.0,1.7,1.7,1.7,1.7,0.0
35,u_norm_techo_principal,61,0.3799999999999999,0.38,1.1194366516904659e-16,0.38,0.38,0.38,0.38,2.9458859255012267e-16
35,u_norm_techo_secundario,61,0.3799999999999999,0.38,1.1194366516904659e-16,0.38,0.38,0.38,0.38,2.9458859255012267e-16
36,superficie_util,107,51.36915887850467,49.6,6.839030760178699,43.0,47.8,52.1,80.4,0.13313495703431652
36,u_norm_muro_principal,107,1.9598130841121488,1.9,0.34528080261923,1.7,1.9,1.9,3.0,0.17618047630070396
36,u_norm_muro_secundario,107,1.9598130841121488,1.9,0.34528080261923,1.7,1.9,1.9,3.0,0.17618047630070396
36,u_norm_techo_principal,107,0.46280373831775695,0.47,0.0574422497937262,0.38,0.47,0.47,0.6,0.12411794684831792
36,u_norm_techo_secundario,107,0.46280373831775695,0.47,0.0574422497937262,0.38,0.47,0.47,0.6,0.12411794684831792
37,superficie_util,76,49.06447368421052,49.9,2.784083521130711,40.9,49.9,49.9,56.2,0.05674336871622571
37,u_norm_muro_principal,76,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0
37,u_norm_muro_secundario,76,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0
