cluster_hdbscan,variable,categoria,frecuencia,pct_cluster,n_categorias
39,acs_proyec,calefont glp,85,100.0,1
40,zona_termica,d,151,100.0,1
40,tipo_inmueble,casa_pareada,151,100.0,1
40,calef_proyec,no posee,151,100.0,1
40,acs_proyec,calefont glp,151,100.0,1
41,zona_termica,d,112,100.0,1
41,tipo_inmueble,casa_pareada,112,100.0,1
41,calef_proyec,no posee,112,100.0,1
41,acs_proyec,calefont 7 litros tiro forzado,112,100.0,1
42,zona_termica,d,63,100.0,1
42,tipo_inmueble,casa_pareada,63,100.0,1
42,calef_proyec,no posee,63,100.0,1
42,acs_proyec,calefont 7 litros tiro forzado,63,100.0,1
43,zona_termica,d,97,100.0,1
43,tipo_inmueble,casa_pareada,97,100.0,1
43,calef_proyec,no posee,97,100.0,1
43,acs_proyec,calefont 7 litros tiro forzado,97,100.0,1
44,zona_termica,d,181,100.0,1
44,tipo_inmueble,depto,181,100.0,1
44,calef_proyec,no posee,181,100.0,1
44,acs_proyec,calefont glp,181,100.0,1
45,zona_termica,d,59,100.0,1
45,tipo_inmueble,casa_pareada,59,100.0,1
45,calef_proyec,no posee,59,100.0,1
45,acs_proyec,calefont 7 litros tiro forzado,59,100.0,1
46,zona_termica,d,50,100.0,1
46,tipo_inmueble,casa_pareada,50,100.0,1
46,calef_proyec,no posee,50,100.0,1
46,acs_proyec,calefont 7 litros tiro forzado,50,100.0,1
47,zona_termica,d,53,100.0,1
47,tipo_inmueble,depto,53,100.0,1
47,calef_proyec,no posee,53,100.0,1
47,acs_proyec,calefont glp,53,100.0,1
48,zona_termica,d,71,100.0,1
48,tipo_inmueble,depto,71,100.0,1
48,calef_proyec,no posee,71,100.0,1
48,acs_proyec,calefont glp,71,100.0,1
49,zona_termica,d,82,100.0,1
49,tipo_inmueble,depto,82,100.0,1
49,calef_proyec,no posee,82,100.0,1
49,acs_proyec,calefont glp,82,100.0,1
50,zona_termica,d,216,99.53917050691244,2
50,zona_termica,e,1,0.4608294930875576,2
50,tipo_inmueble,depto,217,100.0,1
50,calef_proyec,no posee,153,70.50691244239631,3
50,calef_proyec,sin sistema,48,22.119815668202765,3
50,calef_proyec,no considera,16,7.373271889400922,3
50,acs_proyec,calefont,156,71.88940092165899,7
50,acs_proyec,calefon de condensación,29,13.36405529953917,7
50,acs_proyec,calentamiento de agua con caldera a condensación,19,8.755760368663594,7
50,acs_proyec,calefont tiro forzado 13 lts splendid modelo mvg tfi 13,10,4.6082949308755765,7
50,acs_proyec,calefont tiro forzado 10 litros,1,0.4608294930875576,7
50,acs_proyec,"por definir, por defecto.",1,0.4608294930875576,7
50,acs_proyec,calefacción central mediante caldera de condensación,1,0.4608294930875576,7
51,zona_termica,c,67,100.0,1
